preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.9748,31.8472,0.4566,3.6795,38.0419
5.9791,31.5464,0.4716,3.6945,39.3085
5.9500,32.4922,0.4566,3.9082,31.1931
5.8503,32.3315,0.4599,4.2562,29.1021
6.1455,29.3770,0.4265,3.6778,36.3732
6.4139,31.2729,0.4387,3.8741,29.0004
5.7549,30.5438,0.4394,3.7138,34.5480
5.9059,32.5570,0.4573,3.8886,33.1912
6.2749,30.3321,0.4406,3.6757,28.2767
5.7108,29.3720,0.4268,3.7673,30.7232
5.7409,28.6858,0.4289,3.6216,30.5228
5.9865,31.3668,0.5300,3.7415,33.3752
6.5281,30.9401,0.4561,3.4144,27.6613
5.9876,31.5557,0.4690,3.5043,30.4835
5.7399,30.4630,0.4385,3.6726,30.6860
5.8558,30.5362,0.4418,3.8698,31.2965
5.7912,31.5456,0.4666,4.0200,28.1766
5.8186,31.1928,0.4420,3.7942,34.7524
5.8496,31.1027,0.4373,3.6237,30.9868
5.8584,29.8195,0.4425,3.5985,26.2811
5.8100,30.4551,0.4594,3.7057,33.5697
5.8427,30.5195,0.4399,3.5760,26.6219
5.7960,30.9124,0.4511,3.6283,30.2123
5.8653,29.7956,0.4411,3.4108,27.4871
5.8455,29.7239,0.4408,3.3736,30.6161
5.8501,29.7036,0.4401,3.3689,26.6373
5.7347,29.8083,0.4404,3.3638,28.6528
5.7628,29.9497,0.4401,3.4289,28.4185
5.7561,29.8710,0.4399,3.3183,29.6147
5.7676,29.7151,0.4430,3.3250,32.7494
5.9314,30.5126,0.4387,3.5703,30.5470
5.7051,30.5982,0.4394,3.3746,27.8827
5.7871,30.5543,0.4413,3.2804,25.9369
5.7807,31.2223,0.4578,3.3352,26.2040
5.9364,30.8337,0.4439,3.2673,32.5187
6.6607,30.7586,0.4556,3.2852,29.8399
5.7611,30.9863,0.4582,3.3035,35.4908
5.8503,30.1509,0.4568,3.2537,30.2883
5.9762,31.8103,0.4690,3.6554,33.0891
5.8701,30.2913,0.4587,3.2890,34.0909
5.9118,29.0790,0.4570,2.9461,28.6060
5.8372,29.0210,0.4399,2.8186,24.8833
5.7998,28.3372,0.4396,2.9204,31.5030
5.8179,28.3465,0.4396,2.9597,25.4362
5.8832,29.6459,0.5193,3.5806,30.3710
6.5238,29.6333,0.4408,3.5408,30.8613
5.9836,32.3157,0.4570,3.4955,31.7482
5.9652,31.2598,0.4401,3.4208,25.9140
5.7719,30.5805,0.4418,3.1855,31.0203
5.9040,29.7005,0.4444,2.8601,30.0910
5.8682,30.3771,0.4420,2.9211,29.3915
5.7583,31.5526,0.4642,3.1350,30.0900
5.8815,31.2798,0.4475,3.1841,22.2071
5.9555,31.6935,0.4661,3.2179,30.6670
5.8148,30.5557,0.4430,3.3109,33.8756
5.9090,32.5239,0.4709,3.2878,31.8085
5.8362,31.6947,0.4711,3.4480,35.5500
5.9121,30.2088,0.4609,3.4792,33.9390
6.0213,32.1643,0.4594,3.2287,31.1263
5.9426,30.7722,0.4613,3.1703,29.6536
5.9214,27.3907,0.4594,2.8374,31.3911
5.8024,28.9335,0.4437,2.7351,28.0852
5.8281,28.9409,0.4416,2.9187,30.8707
5.7626,29.7432,0.4416,3.2947,32.7580
5.8465,30.5018,0.4423,3.3460,29.8634
5.7662,31.5213,0.4427,3.7887,27.4811
5.9292,31.4050,0.4699,3.5689,34.6270
5.8830,30.4172,0.4401,3.5336,30.7261
5.7604,30.5591,0.4413,3.7062,27.5330
5.8875,31.1892,0.4416,3.6337,28.8480
5.8410,30.6692,0.4416,3.6488,29.3995
