Preprocessing,Inference,Postprocessing,Tracking,OpFlow
4.1712,109.9821,4.3506,1.0899,0.0000
4.5402,110.9032,4.2574,1.0158,0.0000
4.2847,109.6070,3.8117,0.9919,0.0000
4.1878,109.7149,4.1965,0.9703,0.0000
4.2305,109.7575,4.3540,0.9826,0.0000
4.8342,109.9408,4.3001,1.0689,0.0000
4.3449,109.8112,3.8843,1.2933,0.0000
4.2154,109.9435,4.2568,1.0417,0.0000
4.1624,110.5159,4.4608,1.1464,0.0000
4.4215,110.0383,4.3001,1.0224,0.0000
4.3035,110.6475,3.8254,1.0217,0.0000
4.1867,109.8597,4.2578,1.0736,0.0000
4.1860,109.9941,4.4301,1.2226,0.0000
4.4260,110.7533,4.2636,1.2356,0.0000
4.3202,110.0452,3.9432,1.2507,0.0000
4.1846,110.6173,4.2979,1.2339,0.0000
4.1701,109.9773,4.4773,1.2044,0.0000
4.8328,109.7533,4.3376,1.2640,0.0000
4.3071,109.9015,4.0054,1.2688,0.0000
4.1831,110.7904,4.2605,1.2789,0.0000
4.1807,109.9318,4.4304,1.2403,0.0000
4.1520,109.3418,4.1820,1.2108,0.0000
4.3524,110.7905,3.9914,1.2389,0.0000
4.1800,110.7876,4.2905,1.2531,0.0000
4.1632,110.3623,4.7712,1.4484,0.0000
4.2405,109.9909,4.2821,1.2151,0.0000
4.3063,110.7058,3.9924,1.3007,0.0000
4.2606,109.7113,4.2686,1.2362,0.0000
4.1876,110.7021,4.3876,1.1965,0.0000
4.2430,110.0012,4.3156,1.2598,0.0000
4.3829,111.3813,4.0178,1.2241,0.0000
4.2184,109.9372,4.3781,1.2852,0.0000
4.1537,110.5522,4.8449,1.4988,0.0000
4.1403,110.5528,4.2989,1.3530,0.0000
4.2823,110.0244,4.0037,1.2399,0.0000
4.1709,110.5635,4.2808,1.2393,0.0000
4.1930,109.8762,4.3671,1.3588,0.0000
4.2960,110.9552,4.2681,1.2452,0.0000
4.2897,110.3491,3.9963,1.3117,0.0000
4.1377,109.7823,4.2681,1.2657,0.0000
4.2188,109.9866,4.3904,1.2391,0.0000
4.5665,109.9196,4.2843,1.2426,0.0000
4.2781,109.7441,3.9573,1.3313,0.0000
4.1442,110.6884,4.2753,1.2679,0.0000
4.1759,109.9641,4.4383,1.2710,0.0000
4.7741,110.8605,4.3129,1.3153,0.0000
4.3177,109.7233,3.9932,1.2795,0.0000
4.1700,110.7225,4.2537,1.3006,0.0000
4.2114,109.9713,4.4366,1.2509,0.0000
4.3745,110.7585,4.3176,1.2679,0.0000
4.3105,110.1274,4.0396,1.2710,0.0000
4.2142,110.6695,4.2700,1.2776,0.0000
4.1369,110.5191,4.4143,1.1903,0.0000
4.5351,109.9315,4.3099,1.2379,0.0000
4.3183,109.6931,4.0016,1.2280,0.0000
4.1606,110.7206,4.2644,1.3135,0.0000
4.1707,109.9330,4.4264,1.1726,0.0000
4.1832,109.9132,4.3249,1.1466,0.0000
4.3729,110.0402,4.0544,1.2143,0.0000
4.1938,110.7693,4.2778,1.2356,0.0000
4.1644,110.6867,4.4043,1.1499,0.0000
4.2944,110.9344,4.3097,1.1683,0.0000
4.3446,109.8719,4.0198,1.2406,0.0000
4.1728,110.8731,4.2737,1.1986,0.0000
4.1715,109.9520,5.2581,1.2289,0.0000
4.6792,109.9870,4.3024,1.2928,0.0000
4.2958,110.9968,4.0327,1.2279,0.0000
4.1838,110.9423,4.2841,1.1973,0.0000
4.2172,110.7276,4.4458,1.1621,0.0000
4.6775,110.0265,4.3161,1.2934,0.0000
4.3120,109.4927,3.9934,1.2281,0.0000
4.1802,110.6883,4.2817,1.2548,0.0000
4.1971,110.0814,4.4651,1.1916,0.0000
4.8619,109.8881,4.3124,1.2231,0.0000
4.3093,109.8245,4.0196,1.2508,0.0000
4.2208,110.5830,4.3107,1.3027,0.0000
4.1796,109.9543,4.4499,1.2765,0.0000
4.6982,111.2218,4.3037,1.4656,0.0000
4.3542,109.7138,4.0286,1.2725,0.0000
4.1805,110.8636,4.2820,1.2831,0.0000
4.2226,110.7301,4.4340,1.3221,0.0000
4.2514,110.6898,4.3510,1.3183,0.0000
4.3688,110.0615,4.0527,1.2852,0.0000
4.2306,110.7447,4.2976,1.2858,0.0000
4.2289,109.8508,4.4401,1.2548,0.0000
4.2399,110.7026,4.2817,1.3002,0.0000
4.3549,110.1514,4.0537,1.3268,0.0000
4.1895,110.7360,4.2872,1.3240,0.0000
4.1714,111.0632,4.5415,1.2738,0.0000
4.4185,110.7141,4.3583,1.2858,0.0000
4.2927,109.9158,4.0104,1.3991,0.0000
4.2105,110.7733,4.2440,1.2688,0.0000
4.1875,109.9231,4.3604,1.2689,0.0000
5.0103,110.6069,4.2581,1.2623,0.0000
4.2992,110.8453,4.0251,1.2348,0.0000
4.1986,109.8094,4.2353,1.2476,0.0000
4.1741,110.7002,4.9079,1.7945,0.0000
4.4365,109.8829,4.3367,1.3496,0.0000
4.2928,109.8252,4.0776,1.3343,0.0000
4.2161,109.9147,4.3156,1.3354,0.0000
4.1859,110.7527,4.3973,1.3234,0.0000
4.1328,109.7437,4.2974,1.3636,0.0000
4.4034,110.3872,4.0252,1.3019,0.0000
4.1851,110.6477,4.3130,1.3544,0.0000
4.1643,109.9930,4.8839,1.6489,0.0000
4.2394,109.8746,4.2368,1.3067,0.0000
4.3626,110.8829,4.0193,1.3020,0.0000
4.2299,109.7553,4.3207,1.3431,0.0000
4.1780,109.9433,4.4427,1.3627,0.0000
4.5158,110.5773,4.3148,1.2644,0.0000
4.3834,110.5299,4.0500,1.3063,0.0000
4.1573,110.6719,4.2040,1.3514,0.0000
4.1696,110.1601,4.3447,1.3289,0.0000
4.6687,110.4199,4.2576,1.3616,0.0000
4.3435,110.4673,4.0437,1.3026,0.0000
4.1848,110.8272,4.2880,1.3117,0.0000
4.1694,109.9753,4.4188,1.2834,0.0000
