Preprocessing,Inference,Postprocessing,Tracking,OpFlow
0.0000,0.0000,0.0000,0.0000,16.2029
4.2365,46.5263,4.1919,18.6104,0.0000
0.0000,0.0000,0.0000,0.0000,19.6041
0.0000,0.0000,0.0000,0.0000,16.0040
3.9495,46.5351,3.8684,18.0712,0.0000
0.0000,0.0000,0.0000,0.0000,15.6332
0.0000,0.0000,0.0000,0.0000,14.8689
3.9631,46.5045,4.0201,16.8714,0.0000
0.0000,0.0000,0.0000,0.0000,15.6292
0.0000,0.0000,0.0000,0.0000,17.5637
3.9699,46.4167,4.0341,20.5629,0.0000
0.0000,0.0000,0.0000,0.0000,20.2826
0.0000,0.0000,0.0000,0.0000,18.3593
4.0425,47.0554,4.1214,20.6699,0.0000
0.0000,0.0000,0.0000,0.0000,16.0173
0.0000,0.0000,0.0000,0.0000,18.8562
5.2300,46.5831,3.8141,20.2923,0.0000
0.0000,0.0000,0.0000,0.0000,13.0052
0.0000,0.0000,0.0000,0.0000,13.6384
4.1318,46.4203,4.1036,17.6910,0.0000
0.0000,0.0000,0.0000,0.0000,17.8454
0.0000,0.0000,0.0000,0.0000,15.4540
4.0416,46.6771,4.0336,17.2933,0.0000
0.0000,0.0000,0.0000,0.0000,12.8601
0.0000,0.0000,0.0000,0.0000,12.2211
4.2054,46.4329,4.0778,14.5264,0.0000
0.0000,0.0000,0.0000,0.0000,16.0514
0.0000,0.0000,0.0000,0.0000,12.7275
3.9435,46.3108,4.2645,15.9270,0.0000
0.0000,0.0000,0.0000,0.0000,19.4990
0.0000,0.0000,0.0000,0.0000,19.0967
3.9452,46.3898,3.9679,20.6393,0.0000
0.0000,0.0000,0.0000,0.0000,17.3066
0.0000,0.0000,0.0000,0.0000,17.0516
3.9841,46.5527,3.8811,19.5171,0.0000
0.0000,0.0000,0.0000,0.0000,12.2051
0.0000,0.0000,0.0000,0.0000,12.1135
4.1729,46.4778,3.9726,13.4178,0.0000
0.0000,0.0000,0.0000,0.0000,16.2046
0.0000,0.0000,0.0000,0.0000,14.7563
3.9723,46.4984,3.7199,16.2278,0.0000
0.0000,0.0000,0.0000,0.0000,14.5481
0.0000,0.0000,0.0000,0.0000,14.7392
4.1506,46.6056,4.1509,17.0673,0.0000
0.0000,0.0000,0.0000,0.0000,15.0857
0.0000,0.0000,0.0000,0.0000,14.7212
3.9609,46.6772,4.0346,17.9765,0.0000
0.0000,0.0000,0.0000,0.0000,15.4063
0.0000,0.0000,0.0000,0.0000,15.5779
4.1823,46.4239,4.1200,16.3711,0.0000
0.0000,0.0000,0.0000,0.0000,14.5979
0.0000,0.0000,0.0000,0.0000,16.6831
3.9819,46.5785,4.0065,16.1967,0.0000
0.0000,0.0000,0.0000,0.0000,19.6159
0.0000,0.0000,0.0000,0.0000,19.1064
4.1039,46.4531,4.0222,21.8935,0.0000
0.0000,0.0000,0.0000,0.0000,14.6581
0.0000,0.0000,0.0000,0.0000,14.2026
4.0900,46.5146,3.7512,17.6567,0.0000
0.0000,0.0000,0.0000,0.0000,19.2067
0.0000,0.0000,0.0000,0.0000,16.4792
4.0234,46.5408,4.1062,21.1386,0.0000
0.0000,0.0000,0.0000,0.0000,16.8695
0.0000,0.0000,0.0000,0.0000,15.5893
3.8630,46.6482,4.0411,17.2934,0.0000
0.0000,0.0000,0.0000,0.0000,18.8242
0.0000,0.0000,0.0000,0.0000,15.4548
4.1860,46.2142,4.1229,15.7144,0.0000
0.0000,0.0000,0.0000,0.0000,15.0649
0.0000,0.0000,0.0000,0.0000,16.7427
3.9788,46.1475,4.0168,15.8322,0.0000
0.0000,0.0000,0.0000,0.0000,15.7461
0.0000,0.0000,0.0000,0.0000,17.0292
3.9365,47.3254,4.2388,17.1739,0.0000
0.0000,0.0000,0.0000,0.0000,17.7677
0.0000,0.0000,0.0000,0.0000,17.0842
4.1477,46.0735,4.0537,19.1314,0.0000
0.0000,0.0000,0.0000,0.0000,16.4729
0.0000,0.0000,0.0000,0.0000,15.5128
4.1988,46.0686,4.1885,18.5829,0.0000
0.0000,0.0000,0.0000,0.0000,15.6020
0.0000,0.0000,0.0000,0.0000,15.2233
4.2415,46.2031,4.0534,18.3671,0.0000
0.0000,0.0000,0.0000,0.0000,19.3341
0.0000,0.0000,0.0000,0.0000,14.9785
4.2483,46.2922,4.1660,17.5935,0.0000
0.0000,0.0000,0.0000,0.0000,15.0310
0.0000,0.0000,0.0000,0.0000,16.0052
4.4874,46.2197,4.1447,17.7236,0.0000
0.0000,0.0000,0.0000,0.0000,14.0301
0.0000,0.0000,0.0000,0.0000,12.8278
4.2144,46.3156,4.1933,17.1684,0.0000
0.0000,0.0000,0.0000,0.0000,16.7016
0.0000,0.0000,0.0000,0.0000,15.6332
4.3304,46.4849,3.8562,19.4758,0.0000
0.0000,0.0000,0.0000,0.0000,17.8885
0.0000,0.0000,0.0000,0.0000,15.4041
4.1211,46.5352,4.1721,19.3739,0.0000
0.0000,0.0000,0.0000,0.0000,14.1517
0.0000,0.0000,0.0000,0.0000,13.0581
4.1738,46.5677,3.7416,15.4316,0.0000
0.0000,0.0000,0.0000,0.0000,15.7422
0.0000,0.0000,0.0000,0.0000,14.9057
4.1840,46.5047,4.1468,16.9677,0.0000
0.0000,0.0000,0.0000,0.0000,15.5404
0.0000,0.0000,0.0000,0.0000,14.9504
4.2146,46.4532,4.0597,19.5361,0.0000
0.0000,0.0000,0.0000,0.0000,19.6064
