preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.6562,28.2810,0.4091,3.7704,31.8833
5.5065,28.8129,0.4010,3.9198,27.3597
5.5461,29.1455,0.4148,3.7844,34.1092
5.6286,31.0650,0.4122,3.8879,30.0063
5.5435,30.4716,0.4120,3.9454,32.6276
5.4495,30.4751,0.4120,4.1525,26.5108
5.6193,30.6468,0.4141,4.0083,31.3115
5.5888,29.7236,0.4103,4.0615,32.2158
5.6398,29.8212,0.4156,4.0646,30.0589
5.4801,30.5178,0.4122,4.0877,30.5022
5.5068,30.4885,0.4151,3.6459,31.9438
5.5540,32.3765,0.4451,3.7382,24.8862
6.9842,30.3583,0.4165,3.6571,27.5838
5.6589,29.7284,0.4127,3.7007,30.4993
6.4399,31.0245,0.4275,3.5532,32.5550
5.5189,29.7065,0.4120,3.5088,32.8538
5.4986,31.0469,0.4930,3.9248,30.0366
5.6298,31.6045,0.4139,3.8657,27.4861
5.4884,31.1208,0.4144,3.8412,30.1353
5.4708,30.5049,0.4137,3.8300,30.7807
7.2598,33.0222,0.4354,3.8750,31.4076
5.5470,30.6840,0.4256,3.8967,33.4467
5.5346,30.8287,0.4299,3.7565,31.4502
5.7869,30.8750,0.4272,3.6519,33.2590
5.5821,30.0632,0.4215,3.5412,27.3920
5.6360,30.7734,0.4442,3.6089,35.5375
5.6548,31.0040,0.4277,3.5412,31.3723
5.6367,29.8605,0.4275,3.4189,29.6564
5.5590,30.7038,0.4263,3.5233,30.7876
5.7011,30.9837,0.4394,3.5701,29.3058
5.5723,30.0775,0.4253,3.4280,27.4969
5.5649,30.6776,0.4268,3.3817,29.9490
5.7344,29.9468,0.4265,4.3848,28.5075
7.2174,31.8131,0.4487,3.3176,30.2031
5.7659,29.4237,0.4268,3.3324,31.0512
6.4557,29.8743,0.4282,3.3479,32.8939
6.0108,30.4806,0.4570,3.5629,30.4886
5.6095,30.5982,0.4287,3.4559,29.9078
5.6875,30.8337,0.4246,3.6492,31.4049
6.3076,35.1894,0.4971,3.6316,28.3743
6.0735,32.5449,0.4580,3.6182,36.3054
5.8370,31.2722,0.4482,3.5226,31.9200
5.8908,32.9130,0.4556,3.6607,31.0799
5.5993,31.1713,0.4387,3.5124,30.2783
5.8558,31.2064,0.4430,3.5429,30.9520
5.6846,31.4217,0.4413,3.4795,28.9729
5.7483,31.2338,0.4520,3.4742,30.0917
5.8675,32.4359,0.4508,3.7782,31.4676
5.7297,32.2654,0.4499,3.6104,29.9446
5.7845,33.5116,0.4580,3.8874,31.3584
5.8525,31.9185,0.4442,4.0553,29.7296
5.5976,32.5015,0.4623,4.1091,29.3295
7.0438,30.1652,0.4172,3.7606,23.6132
6.4580,30.6771,0.4270,3.7167,29.7212
5.6622,30.2937,0.4907,3.7327,28.8207
5.5852,29.4356,0.4168,3.4680,34.0944
5.7178,28.9249,0.4120,3.4163,28.5290
5.5723,29.7451,0.4148,3.4792,29.7885
5.5752,29.6707,0.4168,3.4642,29.8731
5.6629,31.7807,0.4282,3.5269,32.6012
5.6329,29.6462,0.4158,3.5963,27.7089
5.6250,30.8044,0.4292,3.8660,32.2755
5.7380,30.7295,0.4275,3.8130,32.2919
5.6350,31.7936,0.4253,4.0567,29.0894
5.6245,30.5448,0.4253,3.8977,30.5077
5.6555,30.0810,0.4146,3.8722,31.9767
5.5623,30.4255,0.4144,4.0648,27.5330
5.6071,31.3344,0.4404,3.8581,33.7600
5.6701,30.4501,0.4177,3.9878,30.4743
5.5728,29.7613,0.4122,3.8178,28.4359
5.5027,29.7043,0.4137,3.6216,29.7577
5.6710,29.9170,0.4179,3.8068,31.1872
5.5604,28.8696,0.4141,3.6840,25.4718
5.5912,31.1022,0.4284,3.7711,28.1072
5.6653,28.9397,0.4129,3.4993,31.4828
5.6276,30.7095,0.4292,4.9677,31.2660
7.0672,30.2358,0.4172,3.8869,28.3929
6.3117,28.4181,0.4084,3.9005,28.9613
5.6551,29.3806,0.4017,4.3130,29.2497
5.5010,29.4833,0.4075,3.9101,33.6981
5.6996,30.1702,0.4888,4.0989,33.5425
5.8908,28.8372,0.4044,3.9597,25.9079
5.4829,29.2888,0.4046,3.8805,28.9432
5.6121,28.7645,0.4039,3.7937,32.4258
5.5315,29.4752,0.4015,3.8862,27.7055
5.5444,29.8450,0.4289,3.8829,28.2988
5.5885,30.3457,0.4022,3.8743,32.7893
5.5733,29.5255,0.4151,4.0619,31.4242
5.5153,29.0451,0.4134,3.8521,30.1740
5.6617,28.9941,0.4156,3.6993,30.2293
5.4550,29.0303,0.4153,3.7162,28.3831
5.5060,29.4001,0.4261,3.6068,29.0610
5.6150,29.1152,0.4146,3.6125,28.2427
5.5497,29.0279,0.4196,3.7665,27.2362
5.4760,30.3597,0.4127,3.9604,22.7912
5.6510,30.4408,0.4158,4.1997,31.2927
5.5780,29.6760,0.4137,4.2162,27.1161
5.5513,29.8223,0.4139,4.0040,30.2084
5.5749,29.9232,0.4129,4.0083,31.0806
5.5666,29.6731,0.4163,3.9620,26.3820
5.6207,29.3791,0.4132,3.9327,32.6543
5.5773,29.7163,0.4139,3.8948,30.3977
5.4448,28.6298,0.4108,3.4206,31.0941
5.6810,32.0494,0.4416,3.7315,45.0965
5.7356,32.0959,0.4900,3.7444,30.9341
5.6043,31.0974,0.4475,3.7620,28.0888
5.8324,32.9380,0.4587,3.9842,29.7866
5.6653,33.1964,0.4752,4.6785,29.9846
7.1378,32.6045,0.4284,4.3926,32.4367
6.3186,30.7148,0.4137,4.2379,27.3151
5.5797,30.3595,0.4148,4.0836,32.5623
5.5583,30.5078,0.4144,4.0274,31.4922
5.6453,30.3693,0.4148,4.7565,29.8141
5.6112,31.9405,0.4368,4.2744,29.7372
5.4486,31.1959,0.4134,4.1416,26.8006
5.6694,30.4470,0.4106,4.0567,30.4164
5.5420,31.1837,0.4249,4.4601,33.3893
5.4963,31.5599,0.4249,4.6992,32.8197
5.5544,30.0193,0.4132,4.4692,27.5439
5.5304,31.4515,0.4482,4.5738,28.9961
5.4581,30.3147,0.4039,4.1029,27.7204
5.5778,29.5024,0.4113,4.0531,29.4554
5.4622,28.7352,0.4156,3.8989,31.4882
5.4634,28.8272,0.4063,3.7746,36.5285
5.6086,28.8229,0.4013,4.0228,31.1444
5.5499,55.9072,0.5109,5.2722,26.7598
7.8747,36.4058,0.3972,4.3502,29.9721
5.4014,29.9339,0.4060,4.7381,32.5206
5.4369,29.2444,0.3827,4.2818,30.6543
5.4550,29.2008,0.3810,4.2686,26.6946
5.4383,28.6708,0.3815,4.2412,28.2682
5.4538,27.8971,0.3867,4.0798,31.1825
5.4450,27.2298,0.3834,3.8228,29.1190
5.4309,28.5704,0.3994,4.2250,33.3743
5.4278,27.9977,0.3924,3.6824,27.4996
