preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.6944,40.3032,0.3774,4.0364,57.5886
5.7142,41.8172,0.3757,5.4653,53.6276
7.0484,42.7237,0.3862,5.2962,62.5455
6.3941,40.7290,0.3834,5.0125,57.4810
5.7003,40.1034,0.3762,4.9698,53.8503
5.6994,38.6429,0.3774,4.7798,58.5005
5.6729,39.6349,0.3726,5.6162,45.7034
5.7182,41.5168,0.3891,5.1496,34.2263
5.4765,37.3602,0.3674,5.2466,27.5493
5.6694,38.7774,0.3939,5.2927,40.8666
5.7771,39.3343,0.3772,5.0790,46.4324
5.7328,38.7614,0.3769,4.8418,47.2871
5.6911,39.6364,0.3769,4.7038,48.5918
5.4839,39.6340,0.3827,4.8873,50.6121
5.5656,39.4104,0.3760,5.0070,50.6410
5.6551,38.6605,0.3781,4.8919,48.4144
5.4653,39.5188,0.3753,5.8177,44.8229
5.6317,41.0373,0.3779,5.0018,55.9513
5.5568,39.6161,0.3889,5.1460,60.2922
5.5933,38.4283,0.3760,5.1060,47.4964
5.5604,37.0700,0.3772,4.7250,66.2674
5.6002,37.2527,0.3982,4.6873,64.0616
5.6696,37.7431,0.3760,4.7362,61.4751
5.6491,38.6457,0.3769,4.5352,59.7931
5.6481,38.7855,0.3750,4.5071,59.6843
6.6099,39.9480,0.3917,4.5340,57.5164
5.5828,38.3537,0.3746,4.2765,44.4124
5.7812,35.6705,0.4075,3.9539,72.1869
5.6567,36.0918,0.3896,3.6540,51.2079
5.8990,29.5494,0.5271,3.5906,65.4339
7.6857,37.1523,0.4015,4.4408,62.3197
7.6792,35.3482,0.3951,4.2357,42.3418
7.6773,37.6434,0.4280,4.4777,63.7736
7.6509,31.5905,0.3338,3.2520,53.1728
6.3641,31.6169,0.3321,3.4115,53.2754
5.7719,31.9777,0.4079,3.7301,46.1124
5.7034,31.6024,0.3304,3.8443,41.5195
5.7492,31.3373,0.3335,3.7715,60.8085
5.7085,30.8428,0.3324,3.5150,56.6013
5.7642,32.1157,0.3307,3.5954,67.1940
5.7094,31.1909,0.3700,3.6938,45.0359
5.7297,31.1520,0.3340,3.4714,56.3129
6.4216,33.3223,0.3388,3.7489,58.1684
5.7433,33.9165,0.3343,3.8640,59.1419
5.6632,30.3564,0.3309,3.6132,61.0363
5.9118,47.4205,0.4656,5.0325,66.1696
7.4840,42.8805,0.4661,5.1539,59.0155
7.4832,43.1914,0.4668,4.8664,59.9922
7.5488,40.0395,0.3777,3.8085,68.2255
5.7201,36.9389,0.3772,3.6311,62.3327
5.7447,36.4571,0.3889,3.5970,53.8123
5.7020,35.6443,0.4110,3.4556,60.7871
5.6615,40.7200,0.3979,4.1375,62.0831
7.0977,40.9842,0.3779,3.6573,67.8829
6.3255,36.2370,0.3982,3.3321,66.7072
5.6546,40.2100,0.4354,3.5756,54.1244
5.6756,38.9726,0.3774,3.6075,57.3669
5.4793,38.5823,0.3757,3.6380,57.9247
5.6448,39.1302,0.3777,4.0467,49.8006
5.6343,42.6326,0.3767,3.9766,35.3798
5.2931,41.8649,0.3903,4.0329,32.4188
5.4448,38.3236,0.3526,4.0836,33.7954
5.6851,41.0607,0.3781,4.2353,49.6408
5.5265,41.4455,0.3748,4.2026,49.4506
5.6188,38.9247,0.3791,4.1320,62.9454
5.7230,40.7238,0.3800,4.0631,66.1101
5.5358,40.7801,0.3920,3.9949,49.2972
5.6047,39.7747,0.3784,4.0071,34.2351
5.6934,37.4234,0.3810,3.7942,50.7080
5.4874,37.1597,0.4203,3.8645,55.0681
5.6701,36.9396,0.3757,3.7346,63.2800
5.7044,36.5133,0.4056,3.5927,55.7840
5.5108,38.5628,0.3784,3.8941,57.6539
5.6210,38.5821,0.3769,3.8118,59.6082
7.5371,39.6366,0.3908,3.8064,63.6291
5.5246,36.0107,0.4170,3.7835,55.2642
5.6176,37.3886,0.3891,4.0178,55.5869
7.2961,37.1203,0.3784,4.0786,43.1266
6.6054,37.0958,0.3939,4.6771,58.2278
6.2037,37.6053,0.3884,4.1323,59.6703
5.6643,37.0417,0.3774,3.7792,62.1374
5.7287,38.0573,0.3793,3.8402,58.9945
5.7135,38.1596,0.3779,3.7813,59.9677
5.7499,38.9721,0.3824,3.9117,62.9839
5.6651,37.2372,0.3793,4.1571,63.5613
5.7411,36.6299,0.3912,3.7875,66.4503
5.4860,37.3447,0.4151,3.9854,61.7688
7.7577,39.2623,0.3972,4.1387,65.4441
5.4903,37.5128,0.3793,4.2119,65.4057
5.7545,36.8845,0.3860,4.3356,25.6394
5.5399,36.4110,0.3774,4.0958,25.5759
5.6109,35.8651,0.3910,3.8207,33.3123
5.4643,34.4400,0.3922,3.8915,29.8120
6.7525,35.8930,0.3669,3.7091,26.2785
6.2416,34.6820,0.3784,3.6983,33.9997
6.3021,35.1524,0.4241,3.9139,25.2075
5.3618,32.3129,0.3552,3.4881,26.4820
5.3992,32.1121,0.3440,3.5980,21.5467
5.2361,29.4380,0.4075,3.5522,23.3662
5.3473,31.1697,0.3350,3.5534,31.5946
5.4116,32.1338,0.3433,3.4618,34.6495
5.4204,32.9473,0.3641,3.4873,30.7809
5.2295,33.1016,0.3433,3.4752,32.8504
5.3272,34.0817,0.3428,3.3395,27.9088
5.3401,32.8801,0.3464,3.5286,35.9048
